header 1: FORM   header filesize(d): 130285396   header 2: IFRS
index name: Pict  index number(d): 312   starts at(h): 0212BCA6

index name: Pict  index number(d): 313   starts at(h): 0214CB0A

index name: Pict  index number(d): 314   starts at(h): 0216320E

index name: Pict  index number(d): 315   starts at(h): 0216F65C

index name: Pict  index number(d): 316   starts at(h): 0218B27E

index name: Pict  index number(d): 317   starts at(h): 021AA46E

index name: Pict  index number(d): 318   starts at(h): 021C3CBC

index name: Pict  index number(d): 319   starts at(h): 021D84D8

index name: Pict  index number(d): 320   starts at(h): 021F05D6

index name: Pict  index number(d): 321   starts at(h): 02202744

index name: Pict  index number(d): 322   starts at(h): 0221BA46

index name: Pict  index number(d): 323   starts at(h): 0223FEA2

index name: Pict  index number(d): 324   starts at(h): 022533D4

index name: Pict  index number(d): 325   starts at(h): 022776BE

index name: Pict  index number(d): 326   starts at(h): 0229CE68

index name: Pict  index number(d): 327   starts at(h): 022B2530

index name: Pict  index number(d): 328   starts at(h): 022DF266

index name: Pict  index number(d): 329   starts at(h): 022FD2AC

index name: Pict  index number(d): 330   starts at(h): 0231EAAE

index name: Pict  index number(d): 331   starts at(h): 02341C02

index name: Pict  index number(d): 332   starts at(h): 023687D4

index name: Pict  index number(d): 333   starts at(h): 023891F6

index name: Pict  index number(d): 334   starts at(h): 0239AB6E

index name: Pict  index number(d): 335   starts at(h): 023CBE26

index name: Pict  index number(d): 336   starts at(h): 023F19DE

index name: Pict  index number(d): 337   starts at(h): 0240919C

index name: Pict  index number(d): 338   starts at(h): 02427954

index name: Pict  index number(d): 339   starts at(h): 024478E4

index name: Pict  index number(d): 340   starts at(h): 02461980

index name: Pict  index number(d): 341   starts at(h): 02474D94

index name: Pict  index number(d): 342   starts at(h): 02495916

index name: Pict  index number(d): 343   starts at(h): 024B2A4E

index name: Pict  index number(d): 344   starts at(h): 024CEA5A

index name: Pict  index number(d): 345   starts at(h): 024E8248

index name: Pict  index number(d): 346   starts at(h): 0250ADE8

index name: Pict  index number(d): 347   starts at(h): 02523ED4

index name: Pict  index number(d): 348   starts at(h): 0254173E

index name: Pict  index number(d): 349   starts at(h): 0255AE4A

index name: Pict  index number(d): 350   starts at(h): 02578D6A

index name: Pict  index number(d): 351   starts at(h): 02593A5E

index name: Pict  index number(d): 352   starts at(h): 025B525A

index name: Pict  index number(d): 353   starts at(h): 025D1DF8

index name: Pict  index number(d): 354   starts at(h): 025F4B46

index name: Pict  index number(d): 355   starts at(h): 0260E79A

index name: Pict  index number(d): 356   starts at(h): 0262D9BC

index name: Pict  index number(d): 357   starts at(h): 026548E2

index name: Pict  index number(d): 358   starts at(h): 0266F6AE

index name: Pict  index number(d): 359   starts at(h): 0269090A

index name: Pict  index number(d): 360   starts at(h): 026ACB34

index name: Pict  index number(d): 361   starts at(h): 026CC3AA

index name: Pict  index number(d): 362   starts at(h): 026ED238

index name: Pict  index number(d): 363   starts at(h): 0270EAAE

index name: Pict  index number(d): 364   starts at(h): 02722E20

index name: Pict  index number(d): 365   starts at(h): 0273A1CA

index name: Pict  index number(d): 366   starts at(h): 02763B1E

index name: Pict  index number(d): 367   starts at(h): 027891FC

index name: Pict  index number(d): 368   starts at(h): 027AC8F8

index name: Pict  index number(d): 369   starts at(h): 027C5008

index name: Pict  index number(d): 370   starts at(h): 027E4C22

index name: Pict  index number(d): 371   starts at(h): 027FF1D2

index name: Pict  index number(d): 372   starts at(h): 02815C66

index name: Pict  index number(d): 373   starts at(h): 02837060

index name: Pict  index number(d): 374   starts at(h): 028530D4

index name: Pict  index number(d): 375   starts at(h): 0286D5C8

index name: Pict  index number(d): 376   starts at(h): 02885512

index name: Pict  index number(d): 377   starts at(h): 028A7D88

index name: Pict  index number(d): 378   starts at(h): 028B83B4

index name: Pict  index number(d): 379   starts at(h): 028CC530

index name: Pict  index number(d): 380   starts at(h): 028EC64E

index name: Pict  index number(d): 381   starts at(h): 02911EBC

index name: Pict  index number(d): 382   starts at(h): 0293382E

index name: Pict  index number(d): 383   starts at(h): 029508CA

index name: Pict  index number(d): 384   starts at(h): 02975FAA

index name: Pict  index number(d): 385   starts at(h): 02995FAE

index name: Pict  index number(d): 386   starts at(h): 029B670A

index name: Pict  index number(d): 387   starts at(h): 029D5DB8

index name: Pict  index number(d): 388   starts at(h): 02A01CBA

index name: Pict  index number(d): 389   starts at(h): 02A22656

index name: Pict  index number(d): 390   starts at(h): 02A49632

index name: Pict  index number(d): 391   starts at(h): 02A6CBBC

index name: Pict  index number(d): 392   starts at(h): 02A8FE76
